DATE,ESPECES,TITRES,TOTAL,BASE100,APPARIEE100,DETENTION100
2023-05-12,10115.59,0.0,10115.59,101.1559,101.1065,117.4697
2023-05-15,10115.59,0.0,10115.59,101.1559,101.1065,117.3314
2023-05-16,10115.59,0.0,10115.59,101.1559,101.1065,116.5891
2023-05-17,10115.59,0.0,10115.59,101.1559,101.1065,116.6328
2023-05-18,10115.59,0.0,10115.59,101.1559,101.1065,117.87
2023-05-19,10115.59,0.0,10115.59,101.1559,101.1065,119.0489
2023-05-22,10115.59,0.0,10115.59,101.1559,101.1065,118.7141
2023-05-23,10115.59,0.0,10115.59,101.1559,101.1065,116.9239
2023-05-24,10115.59,0.0,10115.59,101.1559,101.1065,115.352
2023-05-25,10115.59,0.0,10115.59,101.1559,101.1065,115.2792
2023-05-26,10115.59,0.0,10115.59,101.1559,101.1065,116.4436
2023-05-29,10115.59,0.0,10115.59,101.1559,101.1065,116.6765
2023-05-30,10115.59,0.0,10115.59,101.1559,101.1065,116.6183
2023-05-31,10115.59,0.0,10115.59,101.1559,101.1065,114.4787
2023-06-01,10115.59,0.0,10115.59,101.1559,101.1065,115.5121
2023-06-02,10115.59,0.0,10115.59,101.1559,101.1065,116.4727
2023-06-05,10115.59,0.0,10115.59,101.1559,101.1065,115.6431
2023-06-06,10115.59,0.0,10115.59,101.1559,101.1065,115.3083
2023-06-07,10115.59,0.0,10115.59,101.1559,101.1065,114.6679
2023-06-08,10115.59,0.0,10115.59,101.1559,101.1065,114.5224
2023-06-09,10115.59,0.0,10115.59,101.1559,101.1065,114.4496
2023-06-12,10115.59,0.0,10115.59,101.1559,101.1065,115.4393
2023-06-13,10115.59,0.0,10115.59,101.1559,101.1065,116.0943
2023-06-14,10115.59,0.0,10115.59,101.1559,101.1065,116.6183
2023-06-15,10115.59,0.0,10115.59,101.1559,101.1065,117.1422
2023-06-16,10115.59,0.0,10115.59,101.1559,101.1065,122.7022
2023-06-19,10115.59,0.0,10115.59,101.1559,101.1065,118.0155
2023-06-20,10115.59,0.0,10115.59,101.1559,101.1065,118.0301
2023-06-21,10115.59,0.0,10115.59,101.1559,101.1065,117.5643
2023-06-22,10115.59,0.0,10115.59,101.1559,101.1065,116.9239
2023-06-23,10115.59,0.0,10115.59,101.1559,101.1065,115.8905
2023-06-26,9211.8,905.73,10117.53,101.1753,101.1065,116.7201
2023-06-27,9211.8,911.17,10122.97,101.2297,101.1607,117.4188
2023-06-28,9211.8,921.49,10133.29,101.3329,101.2634,118.7432
2023-06-29,9211.8,925.46,10137.26,101.3726,101.3029,119.2527
2023-06-30,9211.8,931.13,10142.93,101.4293,101.3594,119.9804
2023-07-03,9211.8,932.38,10144.18,101.4418,101.3718,120.1405
2023-07-04,9211.8,926.03,10137.83,101.3783,101.3086,119.3255
2023-07-05,9211.8,910.38,10122.18,101.2218,101.1528,117.3169
2023-07-06,9211.8,879.19,10090.99,100.9099,100.8424,113.3143
2023-07-07,9211.8,877.71,10089.51,100.8951,100.8277,113.1251
2023-07-10,8331.13,1768.58,10099.71,100.9971,100.8932,113.9693
2023-07-11,8331.13,1768.81,10099.94,100.9994,100.8955,113.9838
2023-07-12,8331.13,1801.24,10132.38,101.3238,101.2181,116.0652
2023-07-13,8331.13,1814.17,10145.3,101.453,101.3467,116.8948
2023-07-14,8331.13,1824.38,10155.51,101.5551,101.4483,117.5498
2023-07-17,8331.13,1808.28,10139.41,101.3941,101.288,116.5164
2023-07-18,8331.13,1808.28,10139.41,101.3941,101.288,116.5164
2023-07-19,8331.13,1794.44,10125.57,101.2557,101.1504,115.6285
2023-07-20,8331.13,1819.16,10150.29,101.5029,101.3964,117.215
2023-07-21,8331.13,1824.61,10155.74,101.5574,101.4505,117.5643
2023-07-24,8331.13,1823.47,10154.6,101.546,101.4392,117.4915
2023-07-25,8331.13,1819.16,10150.29,101.5029,101.3964,117.215
2023-07-26,8331.13,1794.44,10125.57,101.2557,101.1504,115.6285
2023-07-27,8331.13,1836.86,10167.99,101.6799,101.5723,118.3503
2023-07-28,8331.13,1856.59,10187.72,101.8772,101.7687,119.6166
2023-07-31,8331.13,1852.74,10183.87,101.8387,101.7303,119.3691
